season,date,match_number,match_type,venue,location,team1,team2,toss_won,toss_decision,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,man_of_match
2023,2023-04-26,36,Group,M Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,KN Ananthapadmanabhan,R Pandit,Abhijit Bhattacharya,Amit Sharma,Kolkata Knight Riders,21,0,CV Varun
2023,2023-04-27,37,Group,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,A Totre,YC Barde,Mohamad Rafi,M Nayyar,Rajasthan Royals,32,0,YBK Jaiswal
2023,2023-04-28,38,Group,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Nitin Menon,Vinod Seshan,VM Dhokre,Shakti Singh,Lucknow Super Giants,56,0,MP Stoinis
2023,2023-04-29,39,Group,Eden Gardens,Kolkata,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,NA Patwardhan,GR Sadashiv Iyer,M Krishnadas,SA Satbhai,Gujarat Titans,0,7,J Little
2023,2023-04-29,40,Group,Arun Jaitley Stadium,Delhi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,MA Gough,Navdeep Singh,P Joshi,V Narayan Kutty,Sunrisers Hyderabad,9,0,MR Marsh
2023,2023-04-30,41,Group,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,RJ Tucker,UV Gandhe,Mohamad Rafi,M Nayyar,Punjab Kings,0,4,DP Conway
2023,2023-04-30,42,Group,Wankhede Stadium,Mumbai,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Vinod Seshan,VK Sharma,VM Dhokre,J Srinath,Mumbai Indians,0,6,YBK Jaiswal
2023,2023-05-01,43,Group,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,AK Chaudhary,GR Sadashiv Iyer,M Krishnadas,Prakash Bhatt,Royal Challengers Bangalore,18,0,F du Plessis
2023,2023-05-02,44,Group,Narendra Modi Stadium,Ahmedabad,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,MA Gough,R Pandit,P Joshi,V Narayan Kutty,Delhi Capitals,5,0,Mohammed Shami
2023,2023-05-03,45,Group,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,AK Chaudhary,NA Patwardhan,M Krishnadas,Prakash Bhatt,No Result,0,0,
2023,2023-05-03,46,Group,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,J Madanagopal,RJ Tucker,Mohamad Rafi,SS Raul,Mumbai Indians,0,6,Ishan Kishan
2023,2023-05-04,47,Group,Rajiv Gandhi International Stadium,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,KN Ananthapadmanabhan,MA Gough,P Joshi,V Narayan Kutty,Kolkata Knight Riders,5,0,CV Varun
2023,2023-05-05,48,Group,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,HAS Khalid,VK Sharma,VM Dhokre,J Srinath,Gujarat Titans,0,9,Rashid Khan
2023,2023-05-06,49,Group,MA Chidambaram Stadium,Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,BNJ Oxenford,Navdeep Singh,P Joshi,V Narayan Kutty,Chennai Super Kings,0,6,M Pathirana
2023,2023-05-06,50,Group,Arun Jaitley Stadium,Delhi,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,RJ Tucker,YC Barde,Mohamad Rafi,M Nayyar,Delhi Capitals,0,7,PD Salt
2023,2023-05-07,51,Group,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,AK Chaudhary,A Nand Kishore,M Krishnadas,Prakash Bhatt,Gujarat Titans,56,0,Shubman Gill
2023,2023-05-07,52,Group,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Nitin Menon,Vinod Seshan,VM Dhokre,J Srinath,Sunrisers Hyderabad,0,4,GD Phillips
2023,2023-05-08,53,Group,Eden Gardens,Kolkata,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,A Totre,J Madanagopal,Mohamad Rafi,SS Raul,Kolkata Knight Riders,0,5,AD Russell
2023,2023-05-09,54,Group,Wankhede Stadium,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,HAS Khalid,VK Sharma,VM Dhokre,RS Sodhi,Mumbai Indians,0,6,SA Yadav
2023,2023-05-10,55,Group,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Chennai Super Kings,27,0,RA Jadeja
2023,2023-05-11,56,Group,Eden Gardens,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,RJ Tucker,MV Saidharshan Kumar,P Joshi,P Dharmani,Rajasthan Royals,0,9,YBK Jaiswal
2023,2023-05-12,57,Group,Wankhede Stadium,Mumbai,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Nitin Menon,Tapan Sharma,VM Dhokre,RS Sodhi,Mumbai Indians,27,0,SA Yadav
2023,2023-05-13,58,Group,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,A Totre,J Madanagopal,Mohamad Rafi,P Dharmani,Lucknow Super Giants,0,7,PN Mankad
2023,2023-05-13,59,Group,Arun Jaitley Stadium,Delhi,Punjab Kings,Delhi Capitals,Delhi Capitals,field,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Punjab Kings,31,0,P Simran Singh
2023,2023-05-14,60,Group,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,KN Ananthapadmanabhan,Navdeep Singh,P Joshi,V Narayan Kutty,Royal Challengers Bangalore,112,0,WD Parnell
2023,2023-05-14,61,Group,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Tapan Sharma,Vinod Seshan,VM Dhokre,J Srinath,Kolkata Knight Riders,0,6,RK Singh
2023,2023-05-15,62,Group,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,J Madanagopal,UV Gandhe,Mohamad Rafi,M Nayyar,Gujarat Titans,34,0,Shubman Gill
2023,2023-05-16,63,Group,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,AK Chaudhary,A Nand Kishore,M Krishnadas,Sanjay Verma,Lucknow Super Giants,5,0,MP Stoinis
2023,2023-05-17,64,Group,Himachal Pradesh Cricket Association Stadium,Dharamsala,Delhi Capitals,Punjab Kings,Punjab Kings,field,KN Ananthapadmanabhan,MV Saidharshan Kumar,P Joshi,P Dharmani,Delhi Capitals,15,0,RR Rossouw
2023,2023-05-18,65,Group,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,BNJ Oxenford,VK Sharma,VM Dhokre,J Srinath,Royal Challengers Bangalore,0,8,V Kohli
2023,2023-05-19,66,Group,Himachal Pradesh Cricket Association Stadium,Dharamsala,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,A Nand Kishore,RJ Tucker,P Joshi,P Dharmani,Rajasthan Royals,0,4,D Padikkal
2023,2023-05-20,67,Group,Arun Jaitley Stadium,Delhi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Chennai Super Kings,77,0,RD Gaikwad
2023,2023-05-20,68,Group,Eden Gardens,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,J Madanagopal,UV Gandhe,Mohamad Rafi,M Nayyar,Lucknow Super Giants,1,0,N Pooran
2023,2023-05-21,69,Group,Wankhede Stadium,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,KN Ananthapadmanabhan,RJ Tucker,P Joshi,P Dharmani,Mumbai Indians,0,8,C Green
2023,2023-05-21,70,Group,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Nitin Menon,VK Sharma,VM Dhokre,J Srinath,Gujarat Titans,0,6,Shubman Gill
2023,2023-05-23,71,Qualifier,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,AK Chaudhary,CB Gaffaney,VK Sharma,M Nayyar,Chennai Super Kings,15,0,RD Gaikwad
2023,2023-05-24,72,Eliminator,MA Chidambaram Stadium,Chennai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,BNJ Oxenford,VK Sharma,AK Chaudhary,V Narayan Kutty,Mumbai Indians,81,0,Akash Madhwal
2023,2023-05-26,73,Qualifier,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Nitin Menon,RJ Tucker,KN Ananthapadmanabhan,J Srinath,Gujarat Titans,62,0,Shubman Gill
2023,2023-05-29,74,Final,Narendra Modi Stadium,Ahmedabad,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,Nitin Menon,RJ Tucker,J Madanagopal,J Srinath,Chennai Super Kings,0,5,DP Conway
